# macrophage,monocyte,stromal cell,smooth muscle cell,dendritic cell,plasma cell,erythroid lineage cell,T cell,endothelial cell,fibroblast,epithelial cell,mast cell,neutrophil,myeloid cell,renal intercalated cell,B cell,alternatively activated macrophage,neuron,mesothelial cell,basal cell,enterocyte,professional antigen presenting cell,mesenchymal stem cell,endocrine cell,erythroid progenitor cell,cord blood hematopoietic stem cell,primordial germ cell,oligodendrocyte,astrocyte,goblet cell,stratified epithelial cell,kidney loop of Henle epithelial cell,ventricular cardiac muscle cell,embryonic stem cell,epithelial cell of proximal tubule,epithelial cell of exocrine pancreas,pulmonary alveolar type 2 cell,chondrocyte,cell of skeletal muscle,acinar cell,peptic cell,thyroid follicular cell,Sertoli cell,inflammatory cell
0.000000000000000000e+00,1.196830730182685265e-02,5.990858592085923640e-03,4.957254364211460818e-03,6.854592980169327276e-03,9.966501565879415381e-03,1.010571543260252447e-02,6.143477715905509839e-03,3.577898676775048692e-03,3.887220084868636683e-03,3.610633583400413293e-03,2.245398439012158409e-02,9.448015160336442619e-03,3.950186243622744175e-02,1.507718759211595927e-02,1.367504718462253521e-02,2.426513055715440181e-02,7.210367498478031933e-03,2.378004171202663386e-02,1.437312781608068857e-02,5.515305000349579601e-03,3.014942893166028259e-02,5.389024869626002356e-03,1.292825546572917705e-02,2.046511112504179053e-02,2.912877569608274264e-02,1.593541401963083359e-02,1.907694736991361051e-02,1.824641588371755940e-02,1.190323613359012267e-02,1.259044072240822487e-02,1.087342762426279918e-02,3.317410583586766215e-02,6.442671003660127571e-02,2.411627793288151356e-02,3.692181901929636467e-02,1.557396176493353046e-02,2.226181174700248011e-02,2.584433684474651827e-02,1.976708485309763841e-02,2.551133431122853956e-02,2.440843017390970093e-02,2.850550051297429111e-02,1.114229690106296466e-01
1.196830730182685265e-02,1.221245327087672194e-15,1.163215419287655372e-02,9.760444825129721558e-03,6.212239085190751631e-03,8.714757951331031371e-03,7.697708660905244749e-03,6.452743794946869116e-03,1.287900872873615210e-02,1.263819509760166770e-02,1.709707286755046685e-02,1.125234603694880153e-02,5.621652075348260169e-03,2.024567392359366558e-02,7.880483181071373799e-03,8.539487090696740168e-03,1.115227806393281895e-02,1.150274631824410587e-02,1.206567102311184581e-02,1.044694342395435793e-02,9.894975322898957870e-03,1.410419984502420121e-02,9.469311970694338498e-03,1.041152906880338236e-02,1.019088164212700320e-02,1.339070796993013790e-02,1.485134063210369337e-02,1.279550510810367747e-02,1.442599479365602733e-02,8.806266225670267289e-03,9.537391941058848133e-03,9.741728580384578784e-03,2.024573785102923296e-02,4.572028621233359402e-02,1.550346626269616390e-02,2.114514576741555185e-02,8.890751144707387255e-03,1.211658621302935668e-02,1.756390389167694632e-02,1.337425255797430879e-02,1.398365856434125032e-02,1.201878315338678060e-02,1.882165237685196058e-02,8.536305944160582637e-02
5.990858592085923640e-03,1.163215419287655372e-02,1.443289932012703503e-15,4.546682714279159931e-03,8.722864450864120656e-03,8.474094093693929075e-03,8.607549830478289365e-03,7.496731028729608504e-03,3.961178546279642276e-03,5.346434244128395186e-03,5.739253741669947395e-03,1.838691804486958237e-02,8.811453874973618206e-03,3.703092986949396703e-02,1.569134198135446745e-02,1.576550249598818176e-02,2.255267602150590189e-02,6.338026112102213006e-03,2.105907901199821630e-02,1.463862073435029387e-02,4.619254563295482896e-03,2.859731463248027516e-02,4.663839416915060987e-03,1.125187025460139267e-02,1.848684160030633628e-02,2.703993582987829214e-02,1.408900402504387195e-02,1.722795271358279479e-02,1.851642942378184387e-02,9.001287164383753314e-03,1.126208186990862448e-02,1.504942481215287842e-02,3.012297255286944253e-02,6.142614846674598894e-02,2.234437827894175665e-02,3.435549279813066015e-02,1.408857333299962100e-02,2.080466020951421413e-02,2.290377297910706211e-02,2.008259724182115402e-02,2.436790804385424725e-02,2.256765257007553593e-02,2.595977339006427798e-02,1.083518121463242778e-01
4.957254364211460818e-03,9.760444825129721558e-03,4.546682714279159931e-03,0.000000000000000000e+00,5.879138265459271651e-03,9.429803428469663018e-03,7.259788210043249812e-03,5.793817447247162633e-03,6.113697038346410650e-03,4.076201590034411737e-03,7.411300744695759057e-03,1.898449633670784564e-02,7.269337820216770218e-03,3.427528743380447995e-02,1.379364313403952380e-02,1.385047990450904987e-02,1.896553342100948392e-02,6.477888027323408515e-03,1.842007470647721856e-02,1.173390966266407709e-02,7.197487792249934735e-03,2.604186958904475269e-02,3.742696656519384213e-03,1.070771722384855629e-02,1.614596658383704586e-02,2.413750118823432267e-02,1.170191817158783287e-02,1.572002020993990001e-02,1.590085923441642013e-02,1.077536213620688965e-02,7.851527493664689494e-03,1.270270841309095733e-02,2.716055085262847335e-02,5.782127496614897222e-02,2.021899537997950969e-02,3.117676400408242454e-02,1.092636293407822645e-02,1.852855227985783504e-02,2.059518088279732595e-02,1.839264851808375401e-02,2.168314645210667191e-02,1.997303673828265680e-02,2.330077345305869851e-02,1.038609295679955302e-01
6.854592980169327276e-03,6.212239085190751631e-03,8.722864450864120656e-03,5.879138265459271651e-03,0.000000000000000000e+00,6.915118776030237946e-03,8.205924394772301511e-03,3.179156026715590500e-03,8.265846671112075938e-03,8.725073471770428135e-03,9.777477913654242236e-03,1.297705075713273537e-02,6.527012467576365218e-03,2.639673873124448455e-02,8.861241320715973480e-03,8.386325643428116372e-03,1.484124695290467422e-02,1.027143934242946699e-02,1.557215232409780992e-02,9.435327710007657132e-03,7.419814944625624520e-03,1.959459910161343021e-02,7.292764647358729313e-03,1.082352350672499686e-02,1.283456911103597609e-02,1.869509244141032145e-02,1.483173295285056259e-02,1.689420078550984972e-02,1.770120672641184445e-02,8.253997452907446686e-03,8.657224805074359431e-03,8.117870972932150764e-03,2.481284766889557680e-02,5.214316968679888475e-02,1.776283864884309338e-02,2.617798467315091138e-02,9.609835384123965873e-03,1.452795888768887433e-02,1.998668025007366289e-02,1.655520301421964380e-02,1.701010196980889955e-02,1.588365152078807796e-02,2.217160775805593342e-02,9.390452104078450546e-02
9.966501565879415381e-03,8.714757951331031371e-03,8.474094093693929075e-03,9.429803428469663018e-03,6.915118776030237946e-03,0.000000000000000000e+00,1.178130438680546899e-02,6.749985231975674793e-03,7.835947697464207273e-03,1.029807810782801258e-02,1.018825327231798195e-02,1.021142291710952499e-02,8.086216657591349666e-03,2.670414340628091132e-02,1.066934602856883796e-02,7.674455420084047574e-03,1.537617850330119662e-02,1.359560652975100314e-02,1.714043951989618897e-02,1.146295864705104695e-02,5.418861489036808088e-03,2.028418523929476081e-02,1.083429210127040410e-02,1.271326377122983242e-02,1.448255996274117052e-02,1.882393494704948100e-02,1.724078225752079252e-02,1.839912268906818138e-02,1.758010055116043802e-02,6.970976448130050684e-03,1.010558615582357600e-02,9.541236974712763441e-03,2.612607139707689985e-02,5.213632439795456985e-02,2.027107181717557882e-02,2.552395102210069933e-02,1.094036678815701880e-02,1.589213748852214003e-02,2.329741268698060086e-02,1.690639962502937799e-02,1.755237665657394253e-02,1.638173714565582806e-02,2.401723811905809303e-02,9.344883770118428412e-02
1.010571543260252447e-02,7.697708660905244749e-03,8.607549830478289365e-03,7.259788210043249812e-03,8.205924394772301511e-03,1.178130438680546899e-02,1.554312234475219157e-15,8.170990330258254275e-03,1.065579687710282997e-02,9.787309715925895937e-03,1.450369689929764672e-02,1.692435802090264119e-02,6.257161630539131991e-03,2.636496535899368610e-02,1.086400840065460116e-02,1.171648981703876657e-02,1.502658433411840910e-02,5.568633599357886155e-03,1.374325133297915613e-02,1.103651504017832963e-02,9.970223257802834915e-03,1.820528378559582716e-02,5.248515790640673195e-03,8.718003608637503454e-03,1.061834115165816161e-02,1.769051305464663937e-02,1.006720921491011111e-02,1.094943628023214988e-02,1.128877249142112849e-02,1.068975372415192915e-02,1.011172941640958722e-02,1.284144038860168813e-02,1.872465902061870580e-02,4.677024983920929913e-02,1.541956841116876031e-02,2.528352946201373186e-02,1.011288731465898039e-02,1.295712965756823376e-02,1.367423483753738012e-02,1.246886806981184481e-02,1.755849587093560871e-02,1.513216067362876949e-02,1.716756993059020964e-02,9.249879165328556141e-02
6.143477715905509839e-03,6.452743794946869116e-03,7.496731028729608504e-03,5.793817447247162633e-03,3.179156026715590500e-03,6.749985231975674793e-03,8.170990330258254275e-03,0.000000000000000000e+00,7.348313673350426178e-03,8.028608331506648099e-03,8.972753016946999338e-03,1.357153729292814859e-02,6.439576967725790801e-03,2.801744452880672309e-02,8.853903786276151600e-03,8.065311004541442230e-03,1.556904892052524136e-02,9.422022670229734942e-03,1.610859142201137573e-02,9.775437188378588438e-03,6.240177644485700448e-03,2.072668362924079410e-02,6.769697148834019629e-03,1.038757912553434082e-02,1.314810517658859812e-02,1.963693767619323349e-02,1.412057175678316234e-02,1.611643717234123585e-02,1.685555573918062766e-02,7.771594478147902940e-03,9.196033356641986067e-03,8.273357794401747789e-03,2.554593194461229899e-02,5.344715011392853210e-02,1.811989438709848965e-02,2.729236936882450948e-02,1.016473546947194162e-02,1.515984599095809848e-02,2.016421098699261449e-02,1.612368217023152361e-02,1.706768193176877446e-02,1.601134094206013714e-02,2.234535779040491832e-02,9.675437313951640306e-02
3.577898676775048692e-03,1.287900872873615210e-02,3.961178546279642276e-03,6.113697038346410650e-03,8.265846671112075938e-03,7.835947697464207273e-03,1.065579687710282997e-02,7.348313673350426178e-03,1.443289932012703503e-15,5.818639956032267690e-03,3.480559737387034502e-03,1.951730650970673331e-02,1.035146574386458518e-02,3.973940618696936156e-02,1.551751764890585417e-02,1.470728518178043842e-02,2.441944485644997886e-02,7.989294046633621527e-03,2.346978607002381256e-02,1.429229354305650013e-02,4.336523222934207666e-03,3.087473168084708952e-02,6.377840465260575797e-03,1.321739545848710229e-02,2.072762769819103124e-02,2.958575088665416075e-02,1.680695272333621038e-02,1.976045959918326655e-02,1.892286036773294100e-02,9.755472707898782403e-03,1.305481828700028046e-02,1.156684535971774785e-02,3.293251731140889316e-02,6.412278673475291235e-02,2.390778836422779996e-02,3.694675323427387692e-02,1.564051409344646704e-02,2.220724556232245295e-02,2.517064919724332217e-02,2.004775185341234334e-02,2.572372271374767649e-02,2.432955448039142432e-02,2.880719210409110609e-02,1.114901344366735492e-01
3.887220084868636683e-03,1.263819509760166770e-02,5.346434244128395186e-03,4.076201590034411737e-03,8.725073471770428135e-03,1.029807810782801258e-02,9.787309715925895937e-03,8.028608331506648099e-03,5.818639956032267690e-03,3.330669073875469621e-16,4.833476507653200471e-03,2.310636783787867188e-02,9.520694126186501904e-03,3.875154551662296498e-02,1.633875141946350418e-02,1.520299682412384890e-02,2.363406966038594792e-02,7.091645679955349557e-03,2.247758114386355643e-02,1.486967491495361227e-02,6.554880549850872207e-03,2.983481019236688958e-02,4.862842230917152619e-03,1.256155288969040829e-02,1.977620685414360757e-02,2.809884299854048528e-02,1.217358226368825402e-02,1.861137448878169565e-02,1.802293013428313273e-02,1.288906075161011522e-02,1.030846570517662819e-02,1.377282762540354977e-02,3.225694404741463739e-02,6.295627233900591424e-02,2.388790267736073947e-02,3.613215243522660547e-02,1.450441350567055476e-02,2.205110471769344826e-02,2.517056469581613332e-02,1.958516430028067745e-02,2.560064355168456540e-02,2.370354404681385141e-02,2.649523046414614669e-02,1.105642584571859821e-01
3.610633583400413293e-03,1.709707286755046685e-02,5.739253741669947395e-03,7.411300744695759057e-03,9.777477913654242236e-03,1.018825327231798195e-02,1.450369689929764672e-02,8.972753016946999338e-03,3.480559737387034502e-03,4.833476507653200471e-03,2.220446049250313081e-16,2.409466679543370571e-02,1.404246661833463694e-02,4.546845233985219448e-02,1.957747838076040470e-02,1.747081410276840607e-02,2.993724049247759034e-02,1.107704955491328747e-02,2.926790325723593877e-02,1.782109161538369957e-02,5.706342749041581897e-03,3.594555027958989957e-02,8.414754229267407126e-03,1.773222997429002579e-02,2.545047126781307956e-02,3.459681564592353986e-02,1.793862285805514212e-02,2.486918980635222098e-02,2.402767343460909810e-02,1.302771736050167828e-02,1.577608384137507702e-02,1.449159457213422542e-02,3.912694022847285069e-02,7.060764663755436654e-02,2.940936715400854773e-02,4.277156094986733770e-02,2.046014361521542035e-02,2.735539325976266145e-02,3.126480806230025333e-02,2.546120986340361103e-02,3.056803607278735235e-02,2.995528946766834455e-02,3.317558087731786731e-02,1.181821059643469729e-01
2.245398439012158409e-02,1.125234603694880153e-02,1.838691804486958237e-02,1.898449633670784564e-02,1.297705075713273537e-02,1.021142291710952499e-02,1.692435802090264119e-02,1.357153729292814859e-02,1.951730650970673331e-02,2.310636783787867188e-02,2.409466679543370571e-02,1.554312234475219157e-15,1.376958370958214495e-02,1.712136112312290237e-02,1.123815705563890877e-02,1.064778748572814404e-02,1.127587261493034898e-02,2.247547414488626494e-02,1.444347739065576786e-02,1.241275832541710589e-02,1.576235120807933932e-02,1.572716257544193308e-02,1.977358217809921381e-02,1.652063071808940187e-02,1.378365424329242028e-02,1.541124085642664454e-02,2.275520815418274889e-02,1.955091649657747510e-02,2.046603444275996164e-02,1.036858753764580143e-02,1.424023034241483909e-02,1.375222697268585481e-02,2.138987119445867613e-02,4.116312906902508395e-02,1.945224591001348813e-02,1.850031014424680098e-02,1.157731108411530485e-02,1.315666503771162343e-02,2.252402440612411016e-02,1.858924878493151134e-02,1.401450464120979067e-02,1.308411965927924747e-02,2.243310458083702663e-02,7.633712774422052316e-02
9.448015160336442619e-03,5.621652075348260169e-03,8.811453874973618206e-03,7.269337820216770218e-03,6.527012467576365218e-03,8.086216657591349666e-03,6.257161630539131991e-03,6.439576967725790801e-03,1.035146574386458518e-02,9.520694126186501904e-03,1.404246661833463694e-02,1.376958370958214495e-02,0.000000000000000000e+00,2.340228516311715357e-02,9.724643049094261471e-03,9.032280062337805226e-03,1.224963754930785687e-02,8.701629894875440030e-03,1.230483385128167129e-02,1.013441462003950022e-02,8.490103117186675874e-03,1.560124964243814194e-02,6.896788639250583941e-03,8.866999391456187318e-03,9.339284388744761856e-03,1.505708083838042111e-02,1.293722343639092109e-02,1.162710407373768184e-02,1.226744068829954681e-02,8.932861112267653780e-03,8.633286918396043674e-03,1.131467425594401277e-02,2.104497730926535581e-02,4.761085775114881624e-02,1.641463003484133765e-02,2.363464625091016291e-02,8.490181968839771720e-03,1.309971125223574617e-02,1.788199048495375809e-02,1.352525682845617805e-02,1.543084556808904662e-02,1.308474463723163783e-02,1.892205338974184414e-02,8.914852394275596392e-02
3.950186243622744175e-02,2.024567392359366558e-02,3.703092986949396703e-02,3.427528743380447995e-02,2.639673873124448455e-02,2.670414340628091132e-02,2.636496535899368610e-02,2.801744452880672309e-02,3.973940618696936156e-02,3.875154551662296498e-02,4.546845233985219448e-02,1.712136112312290237e-02,2.340228516311715357e-02,4.884981308350688778e-15,1.767152368666036200e-02,2.016565859912911041e-02,1.253404737073426922e-02,3.603725606714536234e-02,1.538627967686079234e-02,2.212208192130793449e-02,3.279553173320237658e-02,1.327798130050283909e-02,3.352618874560220341e-02,2.586053462819604132e-02,1.710505263485262439e-02,1.378047234882906480e-02,3.105869059672217158e-02,2.213326234884827048e-02,2.417930336011542281e-02,2.392494547583079445e-02,2.355333716376206699e-02,2.288865235171189116e-02,2.109275703047053252e-02,3.184760274557085769e-02,2.472981423270725898e-02,1.550068165473639237e-02,1.900105711092159311e-02,1.743006009474556972e-02,2.607673573120872224e-02,2.248863650256094360e-02,1.618932685615481759e-02,1.413035940516893518e-02,2.441848321083717188e-02,5.620745907799795660e-02
1.507718759211595927e-02,7.880483181071373799e-03,1.569134198135446745e-02,1.379364313403952380e-02,8.861241320715973480e-03,1.066934602856883796e-02,1.086400840065460116e-02,8.853903786276151600e-03,1.551751764890585417e-02,1.633875141946350418e-02,1.957747838076040470e-02,1.123815705563890877e-02,9.724643049094261471e-03,1.767152368666036200e-02,3.330669073875469621e-15,8.567448953134770839e-03,1.098425533802083187e-02,1.482298383250946205e-02,1.065583694839200568e-02,9.171624072502271297e-03,1.287746947824486288e-02,1.490045317731603092e-02,1.286852662698734218e-02,1.074071834868561837e-02,1.130896974592365822e-02,1.372258222534694649e-02,1.586560786711121995e-02,1.323189859931095391e-02,1.448032099532681194e-02,9.285214609838110533e-03,9.604312748313970083e-03,4.848204430408342702e-03,1.809849208171776525e-02,3.933413329854718032e-02,1.234092679617848631e-02,1.700510765996043894e-02,8.734929894171017395e-03,9.796899292836225293e-03,1.713046762140169044e-02,1.279550872597290390e-02,1.178686988171362415e-02,9.041328994075836789e-03,1.654632184568005648e-02,7.808741045631861777e-02
1.367504718462253521e-02,8.539487090696740168e-03,1.576550249598818176e-02,1.385047990450904987e-02,8.386325643428116372e-03,7.674455420084047574e-03,1.171648981703876657e-02,8.065311004541442230e-03,1.470728518178043842e-02,1.520299682412384890e-02,1.747081410276840607e-02,1.064778748572814404e-02,9.032280062337805226e-03,2.016565859912911041e-02,8.567448953134770839e-03,8.881784197001252323e-16,1.205820862320094999e-02,1.608040156476131521e-02,1.425400381678276762e-02,9.416410157865207076e-03,1.095240362348737229e-02,1.464322647876037387e-02,1.410450582911337847e-02,1.349451754161423711e-02,1.134954914853902874e-02,1.392585404811885752e-02,1.861368359651427440e-02,1.676774386951096485e-02,1.580464558798910790e-02,1.005828340057546288e-02,1.146503465884385342e-02,8.510404964159445917e-03,2.261305364098231685e-02,4.478175518044724690e-02,1.856513947214499805e-02,2.009411851567666218e-02,1.015519215943250231e-02,1.273189455524204039e-02,2.136815159072524839e-02,1.465228046805644446e-02,1.406541398793226261e-02,1.254062532483923853e-02,2.151526383945390197e-02,8.523915423152816917e-02
2.426513055715440181e-02,1.115227806393281895e-02,2.255267602150590189e-02,1.896553342100948392e-02,1.484124695290467422e-02,1.537617850330119662e-02,1.502658433411840910e-02,1.556904892052524136e-02,2.441944485644997886e-02,2.363406966038594792e-02,2.993724049247759034e-02,1.127587261493034898e-02,1.224963754930785687e-02,1.253404737073426922e-02,1.098425533802083187e-02,1.205820862320094999e-02,2.442490654175344389e-15,2.222215716401898522e-02,9.653954340035797443e-03,1.151935252742941618e-02,1.951224867245449079e-02,1.117054483440671486e-02,1.985771826331783618e-02,1.627294387560795919e-02,1.137201959995992606e-02,1.122418802770897006e-02,2.054482879718766419e-02,1.417778276743297816e-02,1.594489707111557131e-02,1.383016310843376839e-02,1.204777588744554429e-02,1.448861907824794404e-02,1.679187802467285717e-02,3.706561901692273509e-02,1.906833103160399112e-02,1.499375279508374792e-02,7.007893140962173639e-03,1.156909577905718134e-02,1.968178139839538154e-02,1.638023353535456028e-02,1.149150593025050071e-02,8.223191162686771527e-03,1.987121249621992547e-02,7.121958912015524668e-02
7.210367498478031933e-03,1.150274631824410587e-02,6.338026112102213006e-03,6.477888027323408515e-03,1.027143934242946699e-02,1.359560652975100314e-02,5.568633599357886155e-03,9.422022670229734942e-03,7.989294046633621527e-03,7.091645679955349557e-03,1.107704955491328747e-02,2.247547414488626494e-02,8.701629894875440030e-03,3.603725606714536234e-02,1.482298383250946205e-02,1.608040156476131521e-02,2.222215716401898522e-02,0.000000000000000000e+00,2.031658523569945807e-02,1.525972867138924993e-02,9.233585261589016824e-03,2.690105233520334593e-02,3.544114761830252647e-03,8.554722962968552835e-03,1.720392426063199753e-02,2.557546697089074783e-02,1.081931774316191586e-02,1.278258831488654490e-02,1.357248611928263404e-02,1.306992165573317433e-02,1.264419822733908738e-02,1.535676966306454005e-02,2.530597780064247626e-02,5.545182513227286947e-02,1.846026528063138272e-02,3.189992744306380246e-02,1.394432775236531530e-02,1.890016075337974666e-02,1.808833285209798802e-02,1.541597590855492417e-02,2.275972697794748090e-02,2.139364672112176180e-02,2.135508840628597138e-02,1.044250316926574884e-01
2.378004171202663386e-02,1.206567102311184581e-02,2.105907901199821630e-02,1.842007470647721856e-02,1.557215232409780992e-02,1.714043951989618897e-02,1.374325133297915613e-02,1.610859142201137573e-02,2.346978607002381256e-02,2.247758114386355643e-02,2.926790325723593877e-02,1.444347739065576786e-02,1.230483385128167129e-02,1.538627967686079234e-02,1.065583694839200568e-02,1.425400381678276762e-02,9.653954340035797443e-03,2.031658523569945807e-02,3.330669073875469621e-15,1.179476225999465111e-02,1.981036734202390459e-02,1.425486599946712563e-02,1.789229659216562407e-02,1.417795716249314886e-02,1.188581411053402093e-02,1.331338813904925367e-02,1.662029203733528249e-02,1.260491222332882355e-02,1.453588846499909160e-02,1.378546637018585042e-02,1.097579923682479031e-02,1.468837975476433577e-02,1.385837451829941003e-02,3.200174860489191087e-02,1.383882553053539244e-02,1.518219115635199845e-02,1.001042864207357663e-02,9.091020890394041487e-03,1.418682917327940274e-02,1.309641847343523402e-02,1.211304909197286062e-02,8.640455961910320504e-03,1.448962408749721043e-02,7.063689850403165327e-02
1.437312781608068857e-02,1.044694342395435793e-02,1.463862073435029387e-02,1.173390966266407709e-02,9.435327710007657132e-03,1.146295864705104695e-02,1.103651504017832963e-02,9.775437188378588438e-03,1.429229354305650013e-02,1.486967491495361227e-02,1.782109161538369957e-02,1.241275832541710589e-02,1.013441462003950022e-02,2.212208192130793449e-02,9.171624072502271297e-03,9.416410157865207076e-03,1.151935252742941618e-02,1.525972867138924993e-02,1.179476225999465111e-02,5.551115123125782702e-16,1.356630811281889226e-02,1.889059730604603082e-02,1.240056396037647612e-02,1.172592085651236182e-02,1.293821852369558822e-02,1.780488781018685351e-02,1.637567830631792010e-02,1.579092543716043018e-02,1.604254831365603540e-02,9.400439849639008472e-03,6.574884099581734809e-03,1.004670266842244697e-02,1.918342568648101487e-02,4.199303577648672015e-02,1.780849872349066221e-02,2.026660540561930901e-02,7.432419857020922116e-03,9.808383632117445572e-03,1.849728013107654334e-02,1.549769979613135895e-02,1.317775718898395176e-02,1.164077424320486553e-02,1.866941387547205178e-02,8.602908597589820072e-02
5.515305000349579601e-03,9.894975322898957870e-03,4.619254563295482896e-03,7.197487792249934735e-03,7.419814944625624520e-03,5.418861489036808088e-03,9.970223257802834915e-03,6.240177644485700448e-03,4.336523222934207666e-03,6.554880549850872207e-03,5.706342749041581897e-03,1.576235120807933932e-02,8.490103117186675874e-03,3.279553173320237658e-02,1.287746947824486288e-02,1.095240362348737229e-02,1.951224867245449079e-02,9.233585261589016824e-03,1.981036734202390459e-02,1.356630811281889226e-02,1.110223024625156540e-16,2.486436305345618436e-02,7.364787438910447293e-03,1.114825105035788244e-02,1.624291397385146940e-02,2.328652250101614918e-02,1.530026747738044701e-02,1.726964593912050372e-02,1.683412602899836408e-02,6.620621864950604341e-03,1.156017504888529057e-02,1.076115900489849064e-02,2.902338894836631322e-02,5.750757363537106759e-02,2.128009898432126068e-02,3.023769198601422570e-02,1.313768903950418565e-02,1.948623950773853419e-02,2.349359387953942058e-02,1.650036240331487214e-02,2.068958774221263397e-02,2.030119101934413361e-02,2.498817150450616253e-02,1.018767825944177918e-01
